"","time","trap.id","nmales","ntrees"
"903",80,5,247,59
"904",80,19,237,33
"905",112,14,926,84
"906",80,23,289,192
"907",79,18,225,16
"908",98,23,411,212
"909",83,18,271,24
"910",73,18,111,13
"911",94,16,428,249
"912",118,5,1340,114
"913",70,18,69,12
"914",67,18,25,10
"915",81,18,246,15
"916",78,7,229,19
"917",85,19,392,229
"918",69,18,45,12
"919",83,18,264,15
"920",120,7,644,65
"921",85,13,276,16
"922",70,18,61,12
"923",94,15,299,34
"924",96,13,293,18
"925",68,18,40,7
"926",50,19,12,6
"927",74,16,143,32
"928",79,20,238,12
"929",100,10,329,52
"930",84,23,363,227
"931",81,16,288,39
"932",92,13,304,34
"933",89,14,239,38
"934",80,18,243,14
"935",69,18,44,9
"936",119,10,964,119
"937",112,21,2662,433
"938",69,9,58,22
"939",82,10,247,21
"940",87,14,228,35
"941",95,20,243,34
"942",68,18,42,9
"943",81,4,224,21
"944",82,19,272,36
"945",53,18,13,9
"946",55,10,13,8
"947",92,12,295,40
"948",88,8,258,42
"949",73,18,109,12
"950",122,18,1041,31
"951",87,19,421,237
"952",87,8,232,52
"953",80,18,220,12
"954",87,16,229,39
"955",73,18,110,12
"956",105,13,351,68
"957",88,8,258,37
"958",72,18,86,14
"959",90,14,265,43
"960",81,2,250,22
"961",111,23,522,89
"962",80,18,222,15
"963",84,10,286,23
"964",76,18,167,14
"965",79,18,209,13
"966",80,18,249,15
"967",87,14,313,42
"968",87,10,292,57
"969",90,5,243,16
"970",72,19,28,24
"971",116,18,371,70
"972",75,18,149,13
"973",70,18,72,14
"974",73,16,124,31
"975",64,5,25,5
"976",97,7,268,24
"977",78,8,217,28
"978",77,18,196,13
"979",84,8,265,49
"980",93,10,347,68
"981",85,7,314,48
"982",79,18,255,13
"983",82,7,242,16
"984",91,18,280,15
"985",87,10,261,17
"986",88,14,244,41
"987",104,20,321,21
"988",81,19,246,41
"989",84,23,364,227
"990",121,3,1075,108
"991",115,5,427,91
"992",81,19,276,207
"993",78,20,184,10
"994",81,8,255,21
"995",85,8,252,17
"996",68,18,31,11
"997",89,18,284,21
"998",86,18,252,19
"999",70,18,57,14
"1000",76,18,167,88
"1001",93,12,300,29
"1002",85,19,276,40
"1003",84,18,274,12
"1004",76,18,201,12
"1005",76,18,156,13
"1006",71,18,82,12
"1007",86,10,282,22
"1008",100,14,359,49
"1009",85,10,306,48
"1010",88,18,269,20
"1011",82,18,279,14
"1012",77,22,54,52
"1013",92,5,289,32
"1014",95,15,286,18
"1015",68,8,37,21
"1016",78,16,191,32
"1017",78,18,216,14
"1018",86,16,379,255
"1019",105,18,349,16
"1020",85,16,293,41
"1021",116,20,780,26
"1022",59,14,19,8
"1023",107,18,435,19
"1024",91,10,277,34
"1025",79,8,222,19
"1026",72,18,90,15
"1027",97,16,431,255
"1028",120,18,1013,303
"1029",81,14,249,37
"1030",81,23,312,205
"1031",94,21,287,48
"1032",80,13,225,18
"1033",82,19,275,39
"1034",94,13,273,22
"1035",74,16,140,23
"1036",82,13,232,50
"1037",88,17,270,31
"1038",81,18,247,14
"1039",100,16,520,284
"1040",88,10,257,59
"1041",70,18,60,10
"1042",63,18,12,6
"1043",89,5,288,63
"1044",82,10,238,16
"1045",78,8,192,25
"1046",84,16,366,238
"1047",75,18,165,11
"1048",75,13,134,10
"1049",92,14,304,45
"1050",83,14,275,40
"1051",85,13,277,19
"1052",87,8,302,20
"1053",78,16,183,37
"1054",97,10,275,46
"1055",78,18,171,13
"1056",83,10,291,26
"1057",75,17,43,57
"1058",68,14,35,18
"1059",81,18,246,14
"1060",75,18,157,14
"1061",112,18,457,22
"1062",80,18,257,13
"1063",116,20,391,69
"1064",71,18,87,11
"1065",85,14,280,36
"1066",74,18,131,15
"1067",83,14,259,39
"1068",69,18,55,15
"1069",108,21,2123,419
"1070",121,16,866,97
"1071",73,18,94,16
"1072",84,10,258,16
"1073",90,12,302,27
"1074",81,18,239,15
"1075",108,16,436,54
"1076",85,18,301,20
"1077",111,18,419,19
"1078",73,18,110,19
"1079",96,19,301,47
"1080",68,18,32,10
"1081",98,16,279,60
"1082",86,13,254,30
"1083",81,22,280,174
"1084",71,18,83,15
"1085",87,15,310,54
"1086",72,3,98,28
"1087",73,16,169,27
"1088",106,18,446,23
"1089",110,13,442,36
"1090",81,18,248,14
"1091",53,18,18,5
"1092",66,8,25,9
"1093",80,15,269,14
"1094",77,14,173,25
"1095",106,7,312,27
"1096",57,21,10,7
"1097",94,8,250,20
"1098",91,13,289,54
"1099",88,19,391,238
"1100",96,13,303,36
"1101",103,14,362,58
"1102",81,13,254,12
"1103",53,18,10,10
"1104",109,8,288,48
"1105",97,10,290,24
"1106",114,19,2952,461
"1107",80,18,217,14
"1108",73,18,120,11
"1109",78,23,242,165
"1110",79,19,228,31
"1111",113,18,625,25
"1112",67,13,19,8
"1113",48,13,4,5
"1114",72,8,101,11
"1115",85,21,341,215
"1116",76,18,169,17
"1117",82,8,267,53
"1118",89,8,284,53
"1119",88,14,300,41
"1120",75,12,142,26
"1121",73,2,118,30
"1122",79,12,220,50
"1123",80,18,222,14
"1124",91,21,399,213
"1125",85,23,381,227
"1126",83,8,250,25
"1127",73,18,126,14
"1128",73,18,89,14
"1129",80,14,251,37
"1130",89,5,272,29
"1131",87,8,279,55
"1132",82,7,271,22
"1133",95,24,417,249
"1134",84,14,250,31
"1135",84,10,282,47
"1136",80,18,233,11
"1137",118,10,1009,113
"1138",74,11,131,38
"1139",94,17,280,40
"1140",97,13,320,24
"1141",79,16,222,35
"1142",94,7,285,50
"1143",89,12,260,31
"1144",83,8,245,33
"1145",87,11,276,31
"1146",83,18,247,13
"1147",75,18,139,13
"1148",79,18,194,14
"1149",103,10,319,46
"1150",72,10,100,23
"1151",67,10,20,16
"1152",84,19,366,255
"1153",81,18,247,12
"1154",81,18,292,13
"1155",77,8,170,18
"1156",86,16,251,34
"1157",81,19,313,204
"1158",88,19,385,244
"1159",106,23,1465,401
"1160",86,19,283,38
"1161",78,14,191,31
"1162",71,18,85,11
"1163",91,7,285,25
"1164",81,14,264,34
"1165",80,18,245,16
"1166",89,19,341,250
"1167",55,13,17,7
"1168",83,18,266,12
"1169",81,23,312,196
"1170",105,8,359,86
"1171",84,18,378,213
"1172",100,13,290,37
"1173",95,9,311,49
"1174",111,18,389,79
"1175",88,10,282,43
"1176",85,23,255,20
"1177",100,10,439,74
"1178",90,20,296,27
"1179",103,19,341,63
"1180",91,8,296,43
"1181",94,8,321,59
"1182",62,8,14,7
"1183",119,16,954,110
"1184",109,9,416,70
"1185",58,10,16,3
"1186",80,18,218,12
"1187",83,18,292,10
"1188",73,18,122,12
"1189",76,9,151,28
"1190",100,7,484,92
"1191",78,5,175,19
"1192",93,18,303,21
"1193",87,13,258,18
"1194",103,10,294,20
"1195",87,7,287,49
"1196",78,5,177,20
"1197",112,16,429,58
"1198",80,18,229,55
"1199",80,7,223,18
"1200",69,18,54,10
"1201",81,19,287,203
"1202",85,10,298,72
"1203",39,18,5,2
"1204",100,19,468,278
"1205",88,10,268,19
"1206",85,7,261,19
"1207",62,14,13,12
"1208",115,10,823,64
"1209",76,8,154,28
"1210",77,14,189,28
"1211",90,12,377,53
"1212",48,18,7,3
"1213",72,18,102,10
"1214",86,18,254,14
"1215",93,14,331,51
"1216",73,8,146,21
"1217",74,18,135,16
"1218",43,18,5,4
"1219",90,13,300,16
"1220",84,10,249,44
"1221",84,18,266,17
"1222",81,19,285,44
"1223",95,22,377,51
"1224",61,19,8,12
"1225",84,14,260,34
"1226",89,18,290,16
"1227",96,18,323,19
"1228",73,9,117,39
"1229",81,16,259,36
"1230",82,7,275,11
"1231",106,2,351,78
"1232",80,23,260,221
"1233",66,17,12,9
"1234",72,18,93,11
"1235",81,10,261,49
"1236",83,18,305,17
"1237",114,14,898,98
"1238",79,18,224,16
"1239",69,18,63,7
