"","time","trap.id","nmales","ntrees"
"1167",73,52,108,24
"1168",65,26,9,7
"1169",80,72,285,192
"1170",73,39,127,12
"1171",76,27,163,17
"1172",75,16,181,18
"1173",78,72,218,177
"1174",93,17,323,76
"1175",73,28,128,40
"1176",58,69,10,8
"1177",76,62,162,29
"1178",67,58,16,10
"1179",82,38,258,14
"1180",73,39,120,11
"1181",76,38,191,21
"1182",71,68,90,62
"1183",80,79,285,196
"1184",73,69,114,15
"1185",69,69,56,12
"1186",80,36,241,14
"1187",74,62,133,25
"1188",75,29,162,36
"1189",73,18,117,31
"1190",76,26,155,20
"1191",83,72,310,218
"1192",58,27,17,7
"1193",47,80,5,4
"1194",74,69,145,18
"1195",72,79,83,11
"1196",54,60,15,5
"1197",78,29,188,48
"1198",71,26,88,13
"1199",73,29,97,28
"1200",71,62,96,18
"1201",58,38,15,9
"1202",80,72,261,208
"1203",73,60,132,13
"1204",71,28,80,40
"1205",84,38,252,18
"1206",55,69,17,7
"1207",74,64,164,32
"1208",72,28,104,17
"1209",47,69,2,5
"1210",84,39,289,19
"1211",75,28,172,41
"1212",68,39,33,8
"1213",76,69,166,20
"1214",80,69,219,15
"1215",51,69,17,4
"1216",54,69,15,4
"1217",78,82,226,162
"1218",70,38,69,13
"1219",62,62,13,11
"1220",44,59,5,3
"1221",48,78,7,3
"1222",69,38,59,11
"1223",83,92,338,200
"1224",89,99,253,14
"1225",72,28,103,44
"1226",69,27,55,20
"1227",70,46,75,24
"1228",73,62,137,27
"1229",78,59,218,10
"1230",67,69,30,7
"1231",78,79,198,13
"1232",61,61,10,6
"1233",75,36,153,11
"1234",64,47,14,4
"1235",80,36,241,24
"1236",70,28,83,33
"1237",64,46,14,4
"1238",78,66,207,15
"1239",67,83,7,6
"1240",81,28,237,52
"1241",76,79,182,13
"1242",80,91,293,203
"1243",74,38,134,18
